| Nr. | VB | Xbest |
 | 197 | -0,38108969231885 | 1,76305480745551 |
 | 198 | -0,0169293943330571 | 1,76305480745551 |
 | 199 | -0,0446967760112355 | 1,76305480745551 |
 | 200 | 0,376631965906356 | 1,76305480745551 |
 | 201 | -0,257841475078099 | 1,76305480745551 |
 | 202 | -0,414860927408389 | 1,76305480745551 |
 | 203 | -0,215326427722284 | 1,76305480745551 |
 | 204 | 0,0387973524214909 | 1,76305480745551 |
 | 205 | 1,27500759829996 | 1,76305480745551 |
 | 206 | 0,275022755225975 | 1,76305480745551 |
 | 207 | -1,02772438436838 | 1,76305480745551 |
 | 208 | -0,540887983172553 | 1,76305480745551 |
 | 209 | -0,663000913877903 | 1,76305480745551 |
 | 210 | -0,309870951278429 | 1,76305480745551 |
 | 211 | 0,0106690564441047 | 1,76305480745551 |
 | 212 | 0,758143122053074 | 1,76305480745551 |
 | 213 | -0,739994629001439 | 1,76305480745551 |
 | 214 | 1,76305480745551 | 1,76305480745551 |
 | 215 | -0,327408764936052 | 1,76305480745551 |
 | 216 | -0,0487159027901591 | 1,76305480745551 |
 | 217 | -0,103775355403526 | 1,76305480745551 |
 | 218 | -0,021176071707507 | 1,76305480745551 |
 | 219 | -0,493762976820642 | 1,76305480745551 |
 | 220 | -0,0173267842754362 | 1,76305480745551 |
 | 221 | 0,46793672846843 | 1,76305480745551 |
 | 222 | 1,35671401461222 | 1,76305480745551 |
 | 223 | -0,184743620876639 | 1,76305480745551 |
 | 224 | 0,301861438231637 | 1,76305480745551 |
 | 225 | 0,136088870025091 | 1,76305480745551 |
 | 226 | -0,14451942469124 | 1,76305480745551 |
 | 227 | -0,0648455756128723 | 1,76305480745551 |
 | 228 | -0,28880142967244 | 1,76305480745551 |
 | 229 | -1,35294734723868 | 1,76305480745551 |
 | 230 | -0,262248915465072 | 1,76305480745551 |
 | 231 | -0,313500234748038 | 1,76305480745551 |
 | 232 | -0,743057625369928 | 1,76305480745551 |
 | 233 | -0,306841990857031 | 1,76305480745551 |
 | 234 | -0,179886954250553 | 1,76305480745551 |
 | 235 | 0,0469373765812951 | 1,76305480745551 |
 | 236 | -0,796451364363954 | 1,76305480745551 |
 | 237 | -1,32810476817577 | 1,76305480745551 |
 | 238 | 0,145082088031417 | 1,76305480745551 |
 | 239 | -0,00411290873596466 | 1,76305480745551 |
 | 240 | 0,0820947115778628 | 1,76305480745551 |
 | 241 | 0,0227165744503234 | 1,76305480745551 |
 | 242 | 1,4022890986647 | 1,76305480745551 |
 | 243 | -0,268133652842754 | 1,76305480745551 |
 | 244 | 0,0188955193133696 | 1,76305480745551 |
 | 245 | 0,028529402012434 | 1,76305480745551 |
 | 246 | -0,38108969231885 | 1,76305480745551 |
 | 247 | -0,0169293943330571 | 1,76305480745551 |
 | 248 | -0,0446967760112355 | 1,76305480745551 |
 | 249 | 0,376631965906356 | 1,76305480745551 |
 | 250 | -0,257841475078099 | 1,76305480745551 |
 | 251 | -0,414860927408389 | 1,76305480745551 |
 | 252 | -0,215326427722284 | 1,76305480745551 |
 | 253 | 0,0387973524214909 | 1,76305480745551 |
 | 254 | 1,27500759829996 | 1,76305480745551 |
 | 255 | 0,275022755225975 | 1,76305480745551 |
